Poem,Interpreted
"[['الا یا ایها الساقی ادر کاسا و ناولها', 'که عشق آسان نمود اول ولی افتاد مشکل ها'], ['به بوی نافه\u200cای کاخر صبا زان طره بگشاید', 'ز تاب جعد مشکینش چه خون افتاد در دل\u200c ها'], ['مرا در منزل جانان چه امن عیش چون هر دم', 'جرس فریاد می\u200cدارد که بربندید محمل ها'], ['به می سجاده رنگین کن گرت پیر مغان گوید', 'که سالک بی\u200cخبر نبود ز راه و رسم منزل ها'], ['شب تاریک و بیم موج و گردابی چنین هایل', 'کجا دانند حال ما سبک باران ساحل ها'], ['همه کارم ز خود کامی به بدنامی کشید آخر', 'نهان کی ماند آن رازی کز او سازند محفل ها'], ['حضوری گر همی\u200c خواهی از او غایب مشو حافظ', 'متی ما تلق من تهوی دع الدنیا و اهملها']]","['از مشکلات نهراسید و ناامیدی را کنار بگذارید. درست است که زندگی همیشه به کام شما نمی چرخد اما با مشورت با افراد دانا می توانید مشکلات را حل کرده و از سختی ها عبور کنید.', 'به زودی روزهای سختی و غم می گذرد و به مراد دل خواهید رسید. به خداوند توکل کنید. اسرار خود را برای هرکسی فاش نکنید و از راه راست منحرف نشوید.']"
"[['صلاح کار کجا و من خراب کجا', 'ببین تفاوت ره کز کجاست تا به کجا'], ['دلم ز صومعه بگرفت و خرقه سالوس', 'کجاست دیر مغان و شراب ناب کجا'], ['چه نسبت است به رندی صلاح و تقوا را', 'سماع وعظ کجا نغمه رباب کجا'], ['ز روی دوست دل دشمنان چه دریابد', 'چراغ مرده کجا شمع آفتاب کجا'], ['چو کحل بینش ما خاک آستان شماست', 'کجا رویم بفرما از این جناب کجا'], ['مبین به سیب زنخدان که چاه در راه است', 'کجا همی\u200cروی ای دل بدین شتاب کجا'], ['بشد که یاد خوشش باد روزگار وصال', 'خود آن کرشمه کجا رفت و آن عتاب کجا'], ['قرار و خواب ز حافظ طمع مدار ای دوست', 'قرار چیست صبوری کدام و خواب کجا']]","['صبوری پیشه کنید که رمز فائق آمدن بر مشکلات و سختی ها می باشد. برای موفقیت در کارها فکر خود را به کار انداخته و از یاس و ناامیدی حذر کنید. انشالله به زودی لطف پروردگار شامل حال شما خواهد شد.', 'برای رسیدن به اهداف واقعی، از رویاهای محال دوری کنید. از عجله بپرهیزید و تقوا داشته باشید. مراقب باشید فریب دشمنان به ظاهر دوست را نخورید. از گذشته عبرت گرفته و آن را به دست فراموشی بسپارید.']"
"[['اگر آن ترک شیرازی به دست آرد دل ما را', 'به خال هندویش بخشم سمرقند و بخارا را'], ['بده ساقی می باقی که در جنت نخواهی یافت', 'کنار آب رکن آباد و گلگشت مصلا را'], ['فغان کاین لولیان شوخ شیرین کار شهرآشوب', 'چنان بردند صبر از دل که ترکان خوان یغما را'], ['ز عشق ناتمام ما جمال یار مستغنی است', 'به آب و رنگ و خال و خط چه حاجت روی زیبا را'], ['من از آن حسن روزافزون که یوسف داشت دانستم', 'که عشق از پرده عصمت برون آرد زلیخا را'], ['اگر دشنام فرمایی و گر نفرین دعا گویم', 'جواب تلخ می\u200cزیبد لب لعل شکرخا را'], ['نصیحت گوش کن جانا که از جان دوست\u200cتر دارند', 'جوانان سعادتمند پند پیر دانا را'], ['حدیث از مطرب و می گو و راز دهر کمتر جو', 'که کس نگشود و نگشاید به حکمت این معما را'], ['غزل گفتی و در سفتی بیا و خوش بخوان حافظ', 'که بر نظم تو افشاند فلک عقد ثریا را']]","['زندگی را سخت نگیرید، خداوند نعمت های فراوانی به شما ارزانی داشته، به آن راضی باشید و با آرامش زندگی کنید. از حرص و طمع حذر کنید زیرا سرانجام خوبی ندارد و باعث بی آبرویی می شود.', 'برای موفقیت با بزرگان و افراد باتجربه و دلسوز مشورت کنید. بر سر عهد و پیمان خود باشید و کارهای خود را ناتمام رها نکنید. در حق دیگران بدی نکنید که در جایی از زندگی نتیجه آن دامن شما را می گیرد.']"
"[['صبا به لطف بگو آن غزال رعنا را', 'که سر به کوه و بیابان تو داده\u200cای ما را'], ['شکرفروش که عمرش دراز باد چرا', 'تفقدی نکند طوطی شکرخا را'], ['غرور حسنت اجازت مگر نداد ای گل', 'که پرسشی نکنی عندلیب شیدا را'], ['به خلق و لطف توان کرد صید اهل نظر', 'به بند و دام نگیرند مرغ دانا را'], ['ندانم از چه سبب رنگ آشنایی نیست', 'سهی قدان سیه چشم ماه سیما را'], ['چو با حبیب نشینی و باده پیمایی', 'به یاد دار محبان بادپیما را'], ['جز این قدر نتوان گفت در جمال تو عیب', 'که وضع مهر و وفا نیست روی زیبا را'], ['در آسمان نه عجب گر به گفته حافظ', 'سرود زهره به رقص آورد مسیحا را']]","['مدتی است دچار کبر و خودبینی شده اید، این خصلت ناپسند آفت زندگی شماست و باید از آن برحذر باشید. با دیگران با محبت و مهربانی رفتار کنید و در زمان بی نیازی به آن ها کمک کنید.', 'حواستان باشد که هیچکس برای همیشه در اوج یا قعر باقی نخواهد ماند. در کارها با افراد صالح و دانا مشورت کنید و ناامیدی را کنار بگذارید. ظاهربین نباشید و به خداوند توکل کنید.']"
"[['دل می\u200c رود ز دستم صاحب دلان خدا را', 'دردا که راز پنهان خواهد شد آشکارا'], ['کشتی شکستگانیم ای باد شرطه برخیز', 'باشد که بازبینم دیدار آشنا را'], ['ده روزه مهر گردون افسانه است و افسون', 'نیکی به جای یاران فرصت شمار یارا'], ['در حلقه گل و مل خوش خواند دوش بلبل', 'هات الصبوح هبوا یا ایها السکارا'], ['ای صاحب کرامت شکرانه سلامت', 'روزی تفقدی کن درویش بی\u200cنوا را'], ['آسایش دو گیتی تفسیر این دو حرف است', 'با دوستان مروت با دشمنان مدارا'], ['در کوی نیک نامی ما را گذر ندادند', 'گر تو نمی\u200cپسندی تغییر کن قضا را'], ['آن تلخ وش که صوفی ام الخبائثش خواند', 'اشهی لنا و احلی من قبله العذارا'], ['هنگام تنگدستی در عیش کوش و مستی', 'کاین کیمیای هستی قارون کند گدا را'], ['سرکش مشو که چون شمع از غیرتت بسوزد', 'دلبر که در کف او موم است سنگ خارا'], ['آیینه سکندر جام می است بنگر', 'تا بر تو عرضه دارد احوال ملک دارا'], ['خوبان (ترکان) پارسی گو بخشندگان عمرند', 'ساقی بده بشارت رندان پارسا را'], ['حافظ به خود نپوشید این خرقه می آلود', 'ای شیخ پاکدامن معذور دار ما را']]","['اگرچه سختی های زیادی را تحمل می کنید اما نگران نباشید که این روزهای سخت نیز خواهد گذشت. با دوستان و رفیقان صادق باشید و با دشمنان مدارا کنید تا به آرامش برسید.', 'در زندگی صبر و توکل و قناعت پیشه کنید. از خیال پردازی حذر کرده و قدر لحظات عمر را بدانید تا به موفقیت برسید. عمر پربرکتی دارید و به زودی ایام فقر و تنگدستی به پایان خواهد رسید.']"
"[['به ملازمان سلطان که رساند این دعا را', 'که به شکر پادشاهی ز نظر مران گدا را'], ['ز رقیب دیوسیرت به خدای خود پناهم', 'مگر آن شهاب ثاقب مددی دهد خدا را'], ['مژه سیاهت ار کرد به خون ما اشارت', 'ز فریب او بیندیش و غلط مکن نگارا'], ['دل عالمی بسوزی چو عذار برفروزی', 'تو از این چه سود داری که نمی\u200cکنی مدارا'], ['همه شب در این امیدم که نسیم صبحگاهی', 'به پیام آشنایان بنوازد آشنا را'], ['چه قیامت است جانا که به عاشقان نمودی', 'دل و جان فدای رویت بنما عذار ما را'], ['به خدا که جرعه\u200cای ده تو به حافظ سحرخیز', 'که دعای صبحگاهی اثری کند شما را']]","['همیشه به یاد خدا باشید و شکرگزاری او را به جا بیاورید. با توکل و استعانت از خداوند متعال می توانید از همه مشکلات زندگی به سلامت عبور کرده و پیروز شوید.', 'بد دلی را کنار بگذارید و از دوست و رفیق ریاکار دوری کنید. عشقی را در سر می پرورانید اما فکر رقیب آرامش شما را بر هم زده و به پشت سر گذاشتن او فکر می کنید.', 'از نماز صبح غافل نشوید و از نیت های بد و شیطانی برحذر باشید.']"
"[['صوفی بیا که آینه صافیست جام را', 'تا بنگری صفای می لعل فام را'], ['راز درون پرده ز رندان مست پرس', 'کاین حال نیست زاهد عالی مقام را'], ['عنقا شکار کس نشود دام بازچین', 'کان جا همیشه باد به دست است دام را'], ['در بزم دور یک دو قدح درکش و برو', 'یعنی طمع مدار وصال دوام را'], ['ای دل شباب رفت و نچیدی گلی ز عیش', 'پیرانه سر مکن هنری ننگ و نام را'], ['در عیش نقد کوش که چون آبخور نماند', 'آدم بهشت روضه دارالسلام را'], ['ما را بر آستان تو بس حق خدمت است', 'ای خواجه بازبین به ترحم غلام را'], ['حافظ مرید جام می است ای صبا برو', 'وز بنده بندگی برسان شیخ جام را']]","['به خداوند توکل کنید و هرگز ناامید نشوید تا بتوانید بر تمام مشکلات زندگی فائق آمده و پیروز شوید. به دنبال حرص و طمع نباشید تا زندگی طولانی و پرعزتی داشته باشید.', 'حق الناس را به جای آورید و مطمئن باشید خداوند یار و یاور انسان های صادق و بی غل و غش است.', 'دل، آینه تمام نمای انسان است، آینه دل را پاک کنید تا حقیقت را به روشنی دیده و به مقام بالا دست پیدا کنید.']"
"[['ساقیا برخیز و درده جام را', 'خاک بر سر کن غم ایام را'], ['ساغر می بر کفم نه تا ز بر', 'برکشم این دلق ازرق فام را'], ['گر چه بدنامیست نزد عاقلان', 'ما نمی\u200cخواهیم ننگ و نام را'], ['باده درده چند از این باد غرور', 'خاک بر سر نفس نافرجام را'], ['دود آه سینهٔ نالان من', 'سوخت این افسردگان خام را'], ['محرم راز دل شیدای خود', 'کس نمی\u200cبینم ز خاص و عام را'], ['با دلارامی مرا خاطر خوش است', 'کز دلم یک باره برد آرام را'], ['ننگرد دیگر به سرو اندر چمن', 'هر که دید آن سرو سیم اندام را'], ['صبر کن حافظ به سختی روز و شب', 'عاقبت روزی بیابی کام را']]","['ناامید نباشید و با عزمی راسخ دوباره از جای برخیزید و به تلاش خود ادامه دهید. با تنبلی به هیچ موفقیتی دست پیدا نمی کنید. نگران مسائل مالی و دنیوی نباشید، این جهان گذرا است و این روزهای سخت به زودی تمام خواهند شد پس شاد باشید و غم گذشته و آینده را نخورید.', 'با صبر و آرامش به آرزو و معشوق خود خواهید رسید و دنیا زیبایی های خود را به شما نشان خواهد داد. هرکسی قابل اعتماد نیست، اسرار درون خود را نزد هر کس فاش نکنید چون ممکن است پشیمان شوید.']"
"[['رونق عهد شباب است دگر بستان را', 'می\u200cرسد مژده گل بلبل خوش الحان را'], ['ای صبا گر به جوانان چمن بازرسی', 'خدمت ما برسان سرو و گل و ریحان را'], ['گر چنین جلوه کند مغبچه باده فروش', 'خاکروب در میخانه کنم مژگان را'], ['ای که بر مه کشی از عنبر سارا چوگان', 'مضطرب حال مگردان من سرگردان را'], ['ترسم این قوم که بر دردکشان می\u200cخندند', 'در سر کار خرابات کنند ایمان را'], ['یار مردان خدا باش که در کشتی نوح', 'هست خاکی که به آبی نخرد طوفان را'], ['برو از خانه گردون به در و نان مطلب', 'کان سیه کاسه در آخر بکشد مهمان را'], ['هر که را خوابگه آخر مشتی خاک است', 'گو چه حاجت که به افلاک کشی ایوان را'], ['ماه کنعانی من مسند مصر آن تو شد', 'وقت آن است که بدرود کنی زندان را'], ['حافظا می خور و رندی کن و خوش باش ولی', 'دام تزویر مکن چون دگران قرآن را']]","['از روزهای جوانی استفاده کنید و قدر آن را بدانید که وقتی از دست رفت دیگر بازنخواهد گشت. مدتی است برای اتفاقی خوب دعا می کنید، به زودی خبری خوش به شما خواهد رسید. همواره به یاد خدا باشید.', 'روزهای خوش در راه است و تلاش های شما به نتیجه خواهد رسید. ایمان به خدا و تلاش در نهایت شما را به آرزوهای تان خواهد رساند. بیش از حد به دنیای مادی نچسبید و از خدا و قرآن کمک بخواهید تا از همه بلایا و اتفاقات ناخوشایند دور بمانید.']"
"[['دوش از مسجد سوی میخانه آمد پیر ما', 'چیست یاران طریقت بعد از این تدبیر ما'], ['ما مریدان روی سوی قبله چون آریم چون', 'روی سوی خانه خمار دارد پیر ما'], ['در خرابات طریقت ما به هم منزل شویم', 'کاین چنین رفته\u200cست در عهد ازل تقدیر ما'], ['عقل اگر داند که دل در بند زلفش چون خوش است', 'عاقلان دیوانه گردند از پی زنجیر ما'], ['روی خوبت آیتی از لطف بر ما کشف کرد', 'زان زمان جز لطف و خوبی نیست در تفسیر ما'], ['با دل سنگینت آیا هیچ درگیرد شبی', 'آه آتشناک و سوز سینه شبگیر ما'], ['تیر آه ما ز گردون بگذرد حافظ خموش', 'رحم کن بر جان خود پرهیز کن از تیر ما']]","['مسیری که انتخاب کرده اید درست است و شما را به مقصد خواهد رساند. بی گدار به آب نزنید و قبل از هر تصمیمی خوب فکر کنید تا در ادامه راه موفق باشید.', 'به زودی وارد گروهی می شوید که حضورتان در آن جا برای آینده شما خوب است و سرنوشت شما را در جهت مثبت تغییر خواهد داد.', 'تقوای خداوند را پیشه کنید و به او توکل کنید تا از مشکلات رهایی پیدا کرده و از هر آسیب پنهان و پیدایی در امان بمانید.']"
